	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
1	1.e-002	310.15	310.15	310.15	
2	2.e-002	310.14	310.14	310.14	
3	5.e-002	310.13	310.13	310.13	
4	0.14	310.11	310.11	310.11	
5	0.24	310.09	310.09	310.09	
6	0.34	310.08	310.08	310.08	
7	0.44	310.07	310.07	310.07	
8	0.54	310.07	310.07	310.07	
9	0.64	310.07	310.07	310.07	
10	0.74	310.07	310.07	310.07	
11	0.84	310.08	310.08	310.08	
12	0.94	310.08	310.08	310.08	
13	1.04	310.09	310.09	310.09	
14	1.14	310.1	310.1	310.1	
15	1.24	310.1	310.1	310.1	
16	1.34	310.1	310.1	310.1	
17	1.44	310.11	310.11	310.11	
18	1.54	310.11	310.11	310.11	
19	1.64	310.11	310.11	310.11	
20	1.74	310.12	310.12	310.12	
21	1.84	310.12	310.12	310.12	
22	1.94	310.12	310.12	310.12	
23	2.04	310.11	310.11	310.11	
24	2.14	310.11	310.11	310.11	
25	2.24	310.11	310.11	310.11	
26	2.34	310.11	310.11	310.11	
27	2.44	310.1	310.1	310.1	
28	2.54	310.1	310.1	310.1	
29	2.64	310.09	310.09	310.09	
30	2.74	310.09	310.09	310.09	
31	2.84	310.08	310.08	310.08	
32	2.94	310.07	310.07	310.07	
33	3.04	310.06	310.06	310.06	
34	3.14	310.06	310.06	310.06	
35	3.24	310.05	310.05	310.05	
36	3.34	310.04	310.04	310.04	
37	3.44	310.03	310.03	310.03	
38	3.54	310.02	310.02	310.02	
39	3.64	310.01	310.01	310.01	
40	3.74	310.	310.	310.	
41	3.84	309.99	309.99	309.99	
42	3.94	309.97	309.97	309.97	
43	4.04	309.96	309.96	309.96	
44	4.14	309.95	309.95	309.95	
45	4.24	309.94	309.94	309.94	
46	4.34	309.93	309.93	309.93	
47	4.44	309.91	309.91	309.91	
48	4.54	309.9	309.9	309.9	
49	4.64	309.89	309.89	309.89	
50	4.74	309.87	309.87	309.87	
51	4.84	309.86	309.86	309.86	
52	4.94	309.85	309.85	309.85	
53	5.04	309.83	309.83	309.83	
54	5.14	309.82	309.82	309.82	
55	5.24	309.8	309.8	309.8	
56	5.34	309.79	309.79	309.79	
57	5.44	309.77	309.77	309.77	
58	5.54	309.76	309.76	309.76	
59	5.64	309.75	309.75	309.75	
60	5.74	309.73	309.73	309.73	
61	5.84	309.72	309.72	309.72	
62	5.94	309.7	309.7	309.7	
63	6.04	309.69	309.69	309.69	
64	6.14	309.67	309.67	309.67	
65	6.24	309.66	309.66	309.66	
66	6.34	309.64	309.64	309.64	
67	6.44	309.63	309.63	309.63	
68	6.54	309.61	309.61	309.61	
69	6.64	309.6	309.6	309.6	
70	6.74	309.58	309.58	309.58	
71	6.84	309.56	309.56	309.56	
72	6.94	309.55	309.55	309.55	
73	7.04	309.53	309.53	309.53	
74	7.14	309.52	309.52	309.52	
75	7.24	309.5	309.5	309.5	
76	7.34	309.49	309.49	309.49	
77	7.44	309.47	309.47	309.47	
78	7.54	309.46	309.46	309.46	
79	7.64	309.44	309.44	309.44	
80	7.74	309.43	309.43	309.43	
81	7.84	309.41	309.41	309.41	
82	7.94	309.39	309.39	309.39	
83	8.04	309.38	309.38	309.38	
84	8.14	309.36	309.36	309.36	
85	8.24	309.35	309.35	309.35	
86	8.34	309.33	309.33	309.33	
87	8.44	309.32	309.32	309.32	
88	8.54	309.3	309.3	309.3	
89	8.64	309.28	309.28	309.28	
90	8.74	309.27	309.27	309.27	
91	8.84	309.25	309.25	309.25	
92	8.94	309.24	309.24	309.24	
93	9.04	309.22	309.22	309.22	
94	9.14	309.21	309.21	309.21	
95	9.24	309.19	309.19	309.19	
96	9.34	309.18	309.18	309.18	
97	9.44	309.16	309.16	309.16	
98	9.54	309.15	309.15	309.15	
99	9.64	309.13	309.13	309.13	
100	9.74	309.11	309.11	309.11	
101	9.84	309.1	309.1	309.1	
102	9.94	309.08	309.08	309.08	
103	10.04	309.07	309.07	309.07	
104	10.14	309.05	309.05	309.05	
105	10.24	309.04	309.04	309.04	
106	10.34	309.02	309.02	309.02	
107	10.44	309.01	309.01	309.01	
108	10.54	308.99	308.99	308.99	
109	10.64	308.98	308.98	308.98	
110	10.74	308.96	308.96	308.96	
111	10.84	308.95	308.95	308.95	
112	10.94	308.93	308.93	308.93	
113	11.04	308.91	308.91	308.91	
114	11.14	308.9	308.9	308.9	
115	11.24	308.88	308.88	308.88	
116	11.34	308.87	308.87	308.87	
117	11.44	308.85	308.85	308.85	
118	11.54	308.84	308.84	308.84	
119	11.64	308.82	308.82	308.82	
120	11.74	308.81	308.81	308.81	
121	11.84	308.79	308.79	308.79	
122	11.94	308.78	308.78	308.78	
123	12.04	308.76	308.76	308.76	
124	12.14	308.75	308.75	308.75	
125	12.24	308.73	308.73	308.73	
126	12.34	308.72	308.72	308.72	
127	12.44	308.7	308.7	308.7	
128	12.54	308.69	308.69	308.69	
129	12.64	308.68	308.68	308.68	
130	12.74	308.66	308.66	308.66	
131	12.84	308.65	308.65	308.65	
132	12.94	308.63	308.63	308.63	
133	13.04	308.62	308.62	308.62	
134	13.14	308.6	308.6	308.6	
135	13.24	308.59	308.59	308.59	
136	13.34	308.57	308.57	308.57	
137	13.44	308.56	308.56	308.56	
138	13.54	308.54	308.54	308.54	
139	13.64	308.53	308.53	308.53	
140	13.74	308.52	308.52	308.52	
141	13.84	308.5	308.5	308.5	
142	13.94	308.49	308.49	308.49	
143	14.04	308.47	308.47	308.47	
144	14.14	308.46	308.46	308.46	
145	14.24	308.44	308.44	308.44	
146	14.34	308.43	308.43	308.43	
147	14.44	308.42	308.42	308.42	
148	14.54	308.4	308.4	308.4	
149	14.64	308.39	308.39	308.39	
150	14.74	308.37	308.37	308.37	
151	14.84	308.36	308.36	308.36	
152	14.94	308.34	308.34	308.34	
153	15.04	308.33	308.33	308.33	
154	15.14	308.32	308.32	308.32	
155	15.24	308.3	308.3	308.3	
156	15.34	308.29	308.29	308.29	
157	15.44	308.27	308.27	308.27	
158	15.54	308.26	308.26	308.26	
159	15.64	308.25	308.25	308.25	
160	15.74	308.23	308.23	308.23	
161	15.84	308.22	308.22	308.22	
162	15.94	308.21	308.21	308.21	
163	16.04	308.19	308.19	308.19	
164	16.14	308.18	308.18	308.18	
165	16.24	308.16	308.16	308.16	
166	16.34	308.15	308.15	308.15	
167	16.44	308.14	308.14	308.14	
168	16.54	308.12	308.12	308.12	
169	16.64	308.11	308.11	308.11	
170	16.74	308.1	308.1	308.1	
171	16.84	308.08	308.08	308.08	
172	16.94	308.07	308.07	308.07	
173	17.04	308.06	308.06	308.06	
174	17.14	308.04	308.04	308.04	
175	17.24	308.03	308.03	308.03	
176	17.34	308.02	308.02	308.02	
177	17.44	308.	308.	308.	
178	17.54	307.99	307.99	307.99	
179	17.64	307.98	307.98	307.98	
180	17.74	307.96	307.96	307.96	
181	17.84	307.95	307.95	307.95	
182	17.94	307.94	307.94	307.94	
183	18.04	307.92	307.92	307.92	
184	18.14	307.91	307.91	307.91	
185	18.24	307.9	307.9	307.9	
186	18.34	307.88	307.88	307.88	
187	18.44	307.87	307.87	307.87	
188	18.54	307.86	307.86	307.86	
189	18.64	307.85	307.85	307.85	
190	18.74	307.83	307.83	307.83	
191	18.84	307.82	307.82	307.82	
192	18.94	307.81	307.81	307.81	
193	19.04	307.79	307.79	307.79	
194	19.14	307.78	307.78	307.78	
195	19.24	307.77	307.77	307.77	
196	19.34	307.76	307.76	307.76	
197	19.44	307.74	307.74	307.74	
198	19.54	307.73	307.73	307.73	
199	19.64	307.72	307.72	307.72	
200	19.74	307.7	307.7	307.7	
201	19.84	307.69	307.69	307.69	
202	19.94	307.68	307.68	307.68	
203	20.04	307.67	307.67	307.67	
204	20.14	307.65	307.65	307.65	
205	20.24	307.64	307.64	307.64	
206	20.34	307.63	307.63	307.63	
207	20.44	307.62	307.62	307.62	
208	20.54	307.6	307.6	307.6	
209	20.64	307.59	307.59	307.59	
210	20.74	307.58	307.58	307.58	
211	20.84	307.57	307.57	307.57	
212	20.94	307.55	307.55	307.55	
213	21.04	307.54	307.54	307.54	
214	21.14	307.53	307.53	307.53	
215	21.24	307.52	307.52	307.52	
216	21.34	307.5	307.5	307.5	
217	21.44	307.49	307.49	307.49	
218	21.54	307.48	307.48	307.48	
