Time [s]	Epidermis	Dermis	Fat
1.00E-02	310.15	310.15	310.15
2.00E-02	310.14	310.15	310.15
5.00E-02	310.13	310.15	310.15
0.14	310.11	310.15	310.15
0.24	310.09	310.15	310.15
0.34	310.08	310.14	310.15
0.44	310.07	310.15	310.15
0.54	310.07	310.15	310.15
0.64	310.07	310.15	310.15
0.74	310.07	310.15	310.15
0.84	310.08	310.15	310.15
0.94	310.08	310.15	310.15
1.04	310.09	310.15	310.15
1.14	310.1	310.15	310.15
1.24	310.1	310.15	310.15
1.34	310.1	310.15	310.15
1.44	310.11	310.15	310.15
1.54	310.11	310.15	310.15
1.64	310.11	310.15	310.15
1.74	310.12	310.15	310.15
1.84	310.12	310.15	310.15
1.94	310.12	310.15	310.15
2.04	310.11	310.15	310.15
2.14	310.11	310.15	310.15
2.24	310.11	310.15	310.15
2.34	310.11	310.15	310.15
2.44	310.1	310.15	310.15
2.54	310.1	310.15	310.15
2.64	310.09	310.15	310.15
2.74	310.09	310.15	310.15
2.84	310.08	310.15	310.15
2.94	310.07	310.15	310.15
3.04	310.06	310.15	310.15
3.14	310.06	310.15	310.15
3.24	310.05	310.15	310.15
3.34	310.04	310.15	310.15
3.44	310.03	310.15	310.15
3.54	310.02	310.15	310.15
3.64	310.01	310.15	310.15
3.74	310	310.15	310.15
3.84	309.99	310.15	310.15
3.94	309.97	310.15	310.15
4.04	309.96	310.15	310.15
4.14	309.95	310.14	310.15
4.24	309.94	310.14	310.15
4.34	309.93	310.14	310.15
4.44	309.91	310.14	310.15
4.54	309.9	310.14	310.15
4.64	309.89	310.14	310.15
4.74	309.87	310.14	310.15
4.84	309.86	310.14	310.15
4.94	309.85	310.14	310.15
5.04	309.83	310.14	310.15
5.14	309.82	310.14	310.15
5.24	309.8	310.14	310.15
5.34	309.79	310.14	310.15
5.44	309.77	310.14	310.15
5.54	309.76	310.14	310.15
5.64	309.75	310.14	310.15
5.74	309.73	310.14	310.15
5.84	309.72	310.14	310.15
5.94	309.7	310.14	310.15
6.04	309.69	310.14	310.15
6.14	309.67	310.14	310.15
6.24	309.66	310.14	310.15
6.34	309.64	310.14	310.15
6.44	309.63	310.14	310.15
6.54	309.61	310.14	310.15
6.64	309.6	310.14	310.15
6.74	309.58	310.14	310.15
6.84	309.56	310.14	310.15
6.94	309.55	310.14	310.15
7.04	309.53	310.14	310.15
7.14	309.52	310.14	310.15
7.24	309.5	310.13	310.15
7.34	309.49	310.13	310.15
7.44	309.47	310.13	310.15
7.54	309.46	310.13	310.15
7.64	309.44	310.13	310.15
7.74	309.43	310.13	310.15
7.84	309.41	310.13	310.15
7.94	309.39	310.13	310.15
8.04	309.38	310.13	310.15
8.14	309.36	310.13	310.15
8.24	309.35	310.13	310.15
8.34	309.33	310.13	310.15
8.44	309.32	310.13	310.15
8.54	309.3	310.12	310.15
8.64	309.28	310.12	310.15
8.74	309.27	310.12	310.15
8.84	309.25	310.12	310.15
8.94	309.24	310.12	310.15
9.04	309.22	310.12	310.15
9.14	309.21	310.12	310.15
9.24	309.19	310.12	310.15
9.34	309.18	310.11	310.15
9.44	309.16	310.11	310.15
9.54	309.15	310.11	310.15
9.64	309.13	310.11	310.15
9.74	309.11	310.11	310.15
9.84	309.1	310.11	310.15
9.94	309.08	310.11	310.15
10.04	309.07	310.1	310.15
10.14	309.05	310.1	310.15
10.24	309.04	310.1	310.15
10.34	309.02	310.1	310.15
10.44	309.01	310.1	310.15
10.54	308.99	310.09	310.15
10.64	308.98	310.09	310.15
10.74	308.96	310.09	310.15
10.84	308.95	310.09	310.15
10.94	308.93	310.09	310.15
11.04	308.91	310.08	310.15
11.14	308.9	310.08	310.15
11.24	308.88	310.08	310.15
11.34	308.87	310.08	310.15
11.44	308.85	310.07	310.15
11.54	308.84	310.07	310.15
11.64	308.82	310.07	310.15
11.74	308.81	310.07	310.15
11.84	308.79	310.06	310.15
11.94	308.78	310.06	310.15
12.04	308.76	310.06	310.15
12.14	308.75	310.06	310.15
12.24	308.73	310.05	310.15
12.34	308.72	310.05	310.15
12.44	308.7	310.05	310.15
12.54	308.69	310.05	310.15
12.64	308.68	310.04	310.15
12.74	308.66	310.04	310.15
12.84	308.65	310.04	310.15
12.94	308.63	310.03	310.15
13.04	308.62	310.03	310.15
13.14	308.6	310.03	310.15
13.24	308.59	310.02	310.15
13.34	308.57	310.02	310.15
13.44	308.56	310.02	310.15
13.54	308.54	310.01	310.15
13.64	308.53	310.01	310.15
13.74	308.52	310.01	310.15
13.84	308.5	310	310.15
13.94	308.49	310	310.15
14.04	308.47	310	310.15
14.14	308.46	309.99	310.15
14.24	308.44	309.99	310.15
14.34	308.43	309.99	310.15
14.44	308.42	309.98	310.15
14.54	308.4	309.98	310.15
14.64	308.39	309.97	310.15
14.74	308.37	309.97	310.15
14.84	308.36	309.97	310.15
14.94	308.34	309.96	310.15
15.04	308.33	309.96	310.15
15.14	308.32	309.95	310.15
15.24	308.3	309.95	310.15
15.34	308.29	309.95	310.15
15.44	308.27	309.94	310.15
15.54	308.26	309.94	310.15
15.64	308.25	309.93	310.15
15.74	308.23	309.93	310.15
15.84	308.22	309.92	310.15
15.94	308.21	309.92	310.15
16.04	308.19	309.92	310.15
16.14	308.18	309.91	310.15
16.24	308.16	309.91	310.15
16.34	308.15	309.9	310.15
16.44	308.14	309.9	310.15
16.54	308.12	309.89	310.15
16.64	308.11	309.89	310.15
16.74	308.1	309.88	310.15
16.84	308.08	309.88	310.15
16.94	308.07	309.87	310.15
17.04	308.06	309.87	310.15
17.14	308.04	309.86	310.15
17.24	308.03	309.86	310.15
17.34	308.02	309.85	310.15
17.44	308	309.85	310.15
17.54	307.99	309.84	310.15
17.64	307.98	309.84	310.15
17.74	307.96	309.83	310.15
17.84	307.95	309.83	310.15
17.94	307.94	309.82	310.15
18.04	307.92	309.82	310.15
18.14	307.91	309.81	310.15
18.24	307.9	309.81	310.15
18.34	307.88	309.8	310.15
18.44	307.87	309.8	310.15
18.54	307.86	309.79	310.15
18.64	307.85	309.79	310.15
18.74	307.83	309.78	310.15
18.84	307.82	309.78	310.15
18.94	307.81	309.77	310.15
19.04	307.79	309.77	310.15
19.14	307.78	309.76	310.15
19.24	307.77	309.76	310.15
19.34	307.76	309.75	310.15
19.44	307.74	309.74	310.15
19.54	307.73	309.74	310.15
19.64	307.72	309.73	310.15
19.74	307.7	309.73	310.15
19.84	307.69	309.72	310.15
19.94	307.68	309.72	310.15
20.04	307.67	309.71	310.15
20.14	307.65	309.7	310.15
20.24	307.64	309.7	310.15
20.34	307.63	309.69	310.15
20.44	307.62	309.69	310.15
20.54	307.6	309.68	310.15
20.64	307.59	309.68	310.15
20.74	307.58	309.67	310.15
20.84	307.57	309.66	310.15
20.94	307.55	309.66	310.15
21.04	307.54	309.65	310.15
21.14	307.53	309.65	310.15
21.24	307.52	309.64	310.15
21.34	307.5	309.63	310.15
21.44	307.49	309.63	310.15
21.54	307.48	309.62	310.15
21.64	307.47	309.61	310.15
21.74	307.46	309.61	310.15
21.84	307.44	309.6	310.15
21.94	307.43	309.6	310.15
22.04	307.42	309.59	310.15
22.14	307.41	309.58	310.15
22.24	307.4	309.58	310.15
22.34	307.38	309.57	310.15
22.44	307.37	309.57	310.15
22.54	307.36	309.56	310.15
22.64	307.35	309.55	310.15
22.74	307.34	309.55	310.15
22.84	307.32	309.54	310.15
22.94	307.31	309.53	310.15
23.04	307.3	309.53	310.15
23.14	307.29	309.52	310.15
23.24	307.28	309.51	310.15
23.34	307.26	309.51	310.15
23.44	307.25	309.5	310.15
23.54	307.24	309.49	310.15
23.64	307.23	309.49	310.15
23.74	307.22	309.48	310.15
23.84	307.21	309.47	310.15
23.94	307.19	309.47	310.15
24.04	307.18	309.46	310.15
24.14	307.17	309.45	310.15
24.24	307.16	309.45	310.15
24.34	307.15	309.44	310.15
24.44	307.14	309.43	310.15
24.54	307.12	309.43	310.15
24.64	307.11	309.42	310.15
24.74	307.1	309.41	310.15
24.84	307.09	309.41	310.15
24.94	307.08	309.4	310.15
25.04	307.07	309.39	310.15
25.14	307.05	309.39	310.15
25.24	307.04	309.38	310.15
25.34	307.03	309.37	310.15
25.44	307.02	309.37	310.15
25.54	307.01	309.36	310.15
25.64	307	309.35	310.15
25.74	306.99	309.35	310.15
25.84	306.97	309.34	310.15
25.94	306.96	309.33	310.15
26.04	306.95	309.33	310.15
26.14	306.94	309.32	310.15
26.24	306.93	309.31	310.15
26.34	306.92	309.31	310.15
26.44	306.91	309.3	310.15
26.54	306.9	309.29	310.15
26.64	306.88	309.28	310.15
26.74	306.87	309.28	310.15
