	Length [m]	Value [K]	
1	0.	301.35	
2	4.0625e-004	303.39	
3	8.125e-004	304.45	
4	1.2187e-003	305.17	
5	1.625e-003	305.8	
6	2.0313e-003	306.32	
7	2.4375e-003	306.73	
8	2.8437e-003	307.18	
9	3.25e-003	307.62	
10	3.6563e-003	308.02	
11	4.0625e-003	308.4	
12	4.4687e-003	308.75	
13	4.875e-003	309.06	
14	5.2812e-003	309.34	
15	5.6875e-003	309.59	
16	6.0937e-003	309.82	
17	6.5e-003	310.01	
18	6.9062e-003	310.16	
19	7.3125e-003	310.29	
20	7.7187e-003	310.39	
21	8.125e-003	310.46	
22	8.5312e-003	310.49	
23	8.9375e-003	310.5	
24	9.3437e-003	310.47	
25	9.75e-003	310.41	
26	1.0156e-002	310.32	
27	1.0562e-002	310.2	
28	1.0969e-002	310.05	
29	1.1375e-002	310.06	
30	1.1781e-002	310.08	
31	1.2187e-002	310.09	
32	1.2594e-002	310.11	
33	1.3e-002	310.12	
34	1.3406e-002	310.13	
35	1.3813e-002	310.15	
36	1.4219e-002	310.15	
37	1.4625e-002	310.16	
38	1.5031e-002	310.17	
39	1.5437e-002	310.17	
40	1.5844e-002	310.18	
41	1.625e-002	310.18	
42	1.6656e-002	310.18	
43	1.7062e-002	310.18	
44	1.7469e-002	310.18	
45	1.7875e-002	310.18	
46	1.8281e-002	310.17	
47	1.8687e-002	310.17	
48	1.9094e-002	310.16	
49	1.95e-002	310.15	
