	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
1	1.e-002	310.15	310.15	310.15	
2	2.e-002	310.15	310.15	310.15	
3	5.e-002	310.14	310.14	310.14	
4	0.14	310.13	310.13	310.13	
5	0.24	310.13	310.13	310.13	
6	0.34	310.12	310.12	310.12	
7	0.44	310.12	310.12	310.12	
8	0.54	310.12	310.12	310.12	
9	0.64	310.12	310.12	310.12	
10	0.74	310.12	310.12	310.12	
11	0.84	310.12	310.12	310.12	
12	0.94	310.12	310.12	310.12	
13	1.04	310.13	310.13	310.13	
14	1.14	310.13	310.13	310.13	
15	1.24	310.13	310.13	310.13	
16	1.34	310.13	310.13	310.13	
17	1.44	310.13	310.13	310.13	
18	1.54	310.13	310.13	310.13	
19	1.64	310.14	310.14	310.14	
20	1.74	310.14	310.14	310.14	
21	1.84	310.14	310.14	310.14	
22	1.94	310.14	310.14	310.14	
23	2.04	310.14	310.14	310.14	
24	2.14	310.14	310.14	310.14	
25	2.24	310.13	310.13	310.13	
26	2.34	310.13	310.13	310.13	
27	2.44	310.13	310.13	310.13	
28	2.54	310.13	310.13	310.13	
29	2.64	310.13	310.13	310.13	
30	2.74	310.12	310.12	310.12	
31	2.84	310.12	310.12	310.12	
32	2.94	310.12	310.12	310.12	
33	3.04	310.12	310.12	310.12	
34	3.14	310.11	310.11	310.11	
35	3.24	310.11	310.11	310.11	
36	3.34	310.1	310.1	310.1	
37	3.44	310.1	310.1	310.1	
38	3.54	310.1	310.1	310.1	
39	3.64	310.09	310.09	310.09	
40	3.74	310.09	310.09	310.09	
41	3.84	310.08	310.08	310.08	
42	3.94	310.08	310.08	310.08	
43	4.04	310.07	310.07	310.07	
44	4.14	310.07	310.07	310.07	
45	4.24	310.06	310.06	310.06	
46	4.34	310.06	310.06	310.06	
47	4.44	310.05	310.05	310.05	
48	4.54	310.05	310.05	310.05	
49	4.64	310.04	310.04	310.04	
50	4.74	310.04	310.04	310.04	
51	4.84	310.03	310.03	310.03	
52	4.94	310.03	310.03	310.03	
53	5.04	310.02	310.02	310.02	
54	5.14	310.01	310.01	310.01	
55	5.24	310.01	310.01	310.01	
56	5.34	310.	310.	310.	
57	5.44	310.	310.	310.	
58	5.54	309.99	309.99	309.99	
59	5.64	309.98	309.98	309.98	
60	5.74	309.98	309.98	309.98	
61	5.84	309.97	309.97	309.97	
62	5.94	309.96	309.96	309.96	
63	6.04	309.96	309.96	309.96	
64	6.14	309.95	309.95	309.95	
65	6.24	309.95	309.95	309.95	
66	6.34	309.94	309.94	309.94	
67	6.44	309.93	309.93	309.93	
68	6.54	309.93	309.93	309.93	
69	6.64	309.92	309.92	309.92	
70	6.74	309.91	309.91	309.91	
71	6.84	309.91	309.91	309.91	
72	6.94	309.9	309.9	309.9	
73	7.04	309.89	309.89	309.89	
74	7.14	309.89	309.89	309.89	
75	7.24	309.88	309.88	309.88	
76	7.34	309.87	309.87	309.87	
77	7.44	309.87	309.87	309.87	
78	7.54	309.86	309.86	309.86	
79	7.64	309.85	309.85	309.85	
80	7.74	309.85	309.85	309.85	
81	7.84	309.84	309.84	309.84	
82	7.94	309.83	309.83	309.83	
83	8.04	309.83	309.83	309.83	
84	8.14	309.82	309.82	309.82	
