Time [s]	Epidermis	Dermis	Fat
1.00E-02	310.15	310.15	310.15
2.00E-02	310.15	310.15	310.15
5.00E-02	310.14	310.15	310.15
0.14	310.13	310.15	310.15
0.24	310.13	310.15	310.15
0.34	310.12	310.15	310.15
0.44	310.12	310.15	310.15
0.54	310.12	310.15	310.15
0.64	310.12	310.15	310.15
0.74	310.12	310.15	310.15
0.84	310.12	310.15	310.15
0.94	310.12	310.15	310.15
1.04	310.13	310.15	310.15
1.14	310.13	310.15	310.15
1.24	310.13	310.15	310.15
1.34	310.13	310.15	310.15
1.44	310.13	310.15	310.15
1.54	310.13	310.15	310.15
1.64	310.14	310.15	310.15
1.74	310.14	310.15	310.15
1.84	310.14	310.15	310.15
1.94	310.14	310.15	310.15
2.04	310.14	310.15	310.15
2.14	310.14	310.15	310.15
2.24	310.13	310.15	310.15
2.34	310.13	310.15	310.15
2.44	310.13	310.15	310.15
2.54	310.13	310.15	310.15
2.64	310.13	310.15	310.15
2.74	310.12	310.15	310.15
2.84	310.12	310.15	310.15
2.94	310.12	310.15	310.15
3.04	310.12	310.15	310.15
3.14	310.11	310.15	310.15
3.24	310.11	310.15	310.15
3.34	310.1	310.15	310.15
3.44	310.1	310.15	310.15
3.54	310.1	310.15	310.15
3.64	310.09	310.15	310.15
3.74	310.09	310.15	310.15
3.84	310.08	310.15	310.15
3.94	310.08	310.15	310.15
4.04	310.07	310.15	310.15
4.14	310.07	310.15	310.15
4.24	310.06	310.15	310.15
4.34	310.06	310.15	310.15
4.44	310.05	310.15	310.15
4.54	310.05	310.15	310.15
4.64	310.04	310.15	310.15
4.74	310.04	310.15	310.15
4.84	310.03	310.15	310.15
4.94	310.03	310.15	310.15
5.04	310.02	310.15	310.15
5.14	310.01	310.15	310.15
5.24	310.01	310.15	310.15
5.34	310	310.15	310.15
5.44	310	310.15	310.15
5.54	309.99	310.15	310.15
5.64	309.98	310.15	310.15
5.74	309.98	310.15	310.15
5.84	309.97	310.15	310.15
5.94	309.96	310.15	310.15
6.04	309.96	310.15	310.15
6.14	309.95	310.15	310.15
6.24	309.95	310.15	310.15
6.34	309.94	310.15	310.15
6.44	309.93	310.15	310.15
6.54	309.93	310.15	310.15
6.64	309.92	310.15	310.15
6.74	309.91	310.15	310.15
6.84	309.91	310.15	310.15
6.94	309.9	310.15	310.15
7.04	309.89	310.15	310.15
7.14	309.89	310.15	310.15
7.24	309.88	310.15	310.15
7.34	309.87	310.15	310.15
7.44	309.87	310.15	310.15
7.54	309.86	310.15	310.15
