	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
1	1.e-002	310.15	310.15	310.15	
2	2.e-002	310.15	310.15	310.15	
3	5.e-002	310.15	310.15	310.15	
4	0.14	310.14	310.14	310.14	
5	0.24	310.14	310.14	310.14	
6	0.34	310.14	310.14	310.14	
7	0.44	310.14	310.14	310.14	
8	0.54	310.14	310.14	310.14	
9	0.64	310.14	310.14	310.14	
10	0.74	310.14	310.14	310.14	
11	0.84	310.15	310.15	310.15	
12	0.94	310.15	310.15	310.15	
13	1.04	310.15	310.15	310.15	
14	1.14	310.15	310.15	310.15	
15	1.24	310.15	310.15	310.15	
16	1.34	310.15	310.15	310.15	
17	1.44	310.15	310.15	310.15	
18	1.54	310.15	310.15	310.15	
19	1.64	310.15	310.15	310.15	
20	1.74	310.15	310.15	310.15	
21	1.84	310.15	310.15	310.15	
22	1.94	310.15	310.15	310.15	
23	2.04	310.15	310.15	310.15	
24	2.14	310.15	310.15	310.15	
25	2.24	310.15	310.15	310.15	
26	2.34	310.15	310.15	310.15	
27	2.44	310.15	310.15	310.15	
28	2.54	310.15	310.15	310.15	
29	2.64	310.15	310.15	310.15	
30	2.74	310.15	310.15	310.15	
31	2.84	310.15	310.15	310.15	
32	2.94	310.15	310.15	310.15	
33	3.04	310.15	310.15	310.15	
34	3.14	310.15	310.15	310.15	
35	3.24	310.14	310.14	310.14	
36	3.34	310.14	310.14	310.14	
37	3.44	310.14	310.14	310.14	
38	3.54	310.14	310.14	310.14	
39	3.64	310.14	310.14	310.14	
40	3.74	310.14	310.14	310.14	
41	3.84	310.14	310.14	310.14	
42	3.94	310.14	310.14	310.14	
43	4.04	310.14	310.14	310.14	
44	4.14	310.14	310.14	310.14	
45	4.24	310.14	310.14	310.14	
46	4.34	310.14	310.14	310.14	
47	4.44	310.14	310.14	310.14	
48	4.54	310.13	310.13	310.13	
49	4.64	310.13	310.13	310.13	
50	4.74	310.13	310.13	310.13	
51	4.84	310.13	310.13	310.13	
52	4.94	310.13	310.13	310.13	
53	5.04	310.13	310.13	310.13	
54	5.14	310.13	310.13	310.13	
55	5.24	310.13	310.13	310.13	
56	5.34	310.13	310.13	310.13	
57	5.44	310.13	310.13	310.13	
58	5.54	310.13	310.13	310.13	
59	5.64	310.13	310.13	310.13	
60	5.74	310.13	310.13	310.13	
61	5.84	310.13	310.13	310.13	
62	5.94	310.13	310.13	310.13	
63	6.04	310.13	310.13	310.13	
64	6.14	310.13	310.13	310.13	
65	6.24	310.13	310.13	310.13	
66	6.34	310.12	310.12	310.12	
67	6.44	310.12	310.12	310.12	
68	6.54	310.12	310.12	310.12	
69	6.64	310.12	310.12	310.12	
70	6.74	310.12	310.12	310.12	
71	6.84	310.12	310.12	310.12	
72	6.94	310.12	310.12	310.12	
73	7.04	310.12	310.12	310.12	
74	7.14	310.12	310.12	310.12	
75	7.24	310.12	310.12	310.12	
76	7.34	310.12	310.12	310.12	
77	7.44	310.11	310.11	310.11	
78	7.54	310.11	310.11	310.11	
79	7.64	310.11	310.11	310.11	
80	7.74	310.11	310.11	310.11	
81	7.84	310.11	310.11	310.11	
82	7.94	310.11	310.11	310.11	
83	8.04	310.11	310.11	310.11	
84	8.14	310.1	310.1	310.1	
