Time [s]	Epidermis	Dermis	Fat
1.00E-02	310.14	310.15	310.15
2.00E-02	310.13	310.15	310.15
5.00E-02	310.11	310.15	310.15
0.14	310.06	310.14	310.15
0.24	310.03	310.14	310.15
0.34	310.01	310.14	310.15
0.44	310	310.14	310.15
0.54	310	310.14	310.15
0.64	310	310.14	310.15
0.74	310.01	310.14	310.15
0.84	310.01	310.15	310.15
0.94	310.03	310.15	310.15
1.04	310.04	310.15	310.15
1.14	310.05	310.15	310.15
1.24	310.06	310.15	310.15
1.34	310.07	310.15	310.15
1.44	310.07	310.15	310.15
1.54	310.08	310.15	310.15
1.64	310.08	310.15	310.15
1.74	310.09	310.15	310.15
1.84	310.09	310.15	310.15
1.94	310.09	310.15	310.15
2.04	310.09	310.15	310.15
2.14	310.08	310.15	310.15
2.24	310.08	310.15	310.15
2.34	310.07	310.15	310.15
2.44	310.06	310.15	310.15
2.54	310.05	310.15	310.15
2.64	310.04	310.15	310.15
2.74	310.03	310.15	310.15
2.84	310.02	310.15	310.15
2.94	310	310.15	310.15
3.04	309.99	310.15	310.15
3.14	309.97	310.15	310.15
3.24	309.95	310.14	310.15
3.34	309.94	310.14	310.15
3.44	309.92	310.14	310.15
3.54	309.9	310.14	310.15
3.64	309.88	310.14	310.15
3.74	309.86	310.14	310.15
3.84	309.84	310.14	310.15
3.94	309.82	310.14	310.15
4.04	309.79	310.14	310.15
4.14	309.77	310.14	310.15
4.24	309.75	310.14	310.15
4.34	309.72	310.14	310.15
4.44	309.7	310.14	310.15
4.54	309.67	310.13	310.15
4.64	309.65	310.13	310.15
4.74	309.63	310.13	310.15
4.84	309.6	310.13	310.15
4.94	309.57	310.13	310.15
5.04	309.55	310.13	310.15
5.14	309.52	310.13	310.15
5.24	309.5	310.13	310.15
5.34	309.47	310.13	310.15
5.44	309.44	310.13	310.15
5.54	309.42	310.13	310.15
5.64	309.39	310.13	310.15
5.74	309.36	310.13	310.15
5.84	309.34	310.13	310.15
5.94	309.31	310.13	310.15
6.04	309.28	310.13	310.15
6.14	309.25	310.13	310.15
6.24	309.23	310.13	310.15
6.34	309.2	310.12	310.15
6.44	309.17	310.12	310.15
6.54	309.14	310.12	310.15
6.64	309.12	310.12	310.15
6.74	309.09	310.12	310.15
6.84	309.06	310.12	310.15
6.94	309.03	310.12	310.15
7.04	309	310.12	310.15
7.14	308.98	310.12	310.15
7.24	308.95	310.12	310.15
7.34	308.92	310.12	310.15
7.44	308.89	310.11	310.15
7.54	308.86	310.11	310.15
7.64	308.84	310.11	310.15
7.74	308.81	310.11	310.15
7.84	308.78	310.11	310.15
7.94	308.75	310.11	310.15
8.04	308.72	310.11	310.15
8.14	308.7	310.1	310.15
8.24	308.67	310.1	310.15
8.34	308.64	310.1	310.15
8.44	308.61	310.1	310.15
8.54	308.58	310.1	310.15
8.64	308.56	310.09	310.15
8.74	308.53	310.09	310.15
8.84	308.5	310.09	310.15
8.94	308.47	310.09	310.15
9.04	308.45	310.09	310.15
9.14	308.42	310.08	310.15
