Length [m]	0 s	60 s	300 s	600 s
0	310.16	296.19	285.15	281.3
4.06E-04	310.15	299.28	286.94	282.56
8.13E-04	310.15	300.91	287.95	283.29
1.22E-03	310.15	302.04	288.71	283.85
1.63E-03	310.15	303	289.44	284.39
2.03E-03	310.15	303.82	290.12	284.92
2.44E-03	310.15	304.48	290.77	285.43
2.84E-03	310.15	305.21	292.01	286.47
3.25E-03	310.15	305.93	293.31	287.58
3.66E-03	310.15	306.6	294.56	288.65
4.06E-03	310.15	307.22	295.75	289.7
4.47E-03	310.15	307.79	296.89	290.72
4.88E-03	310.15	308.3	297.98	291.71
5.28E-03	310.15	308.77	299.01	292.68
5.69E-03	310.15	309.18	299.99	293.61
6.09E-03	310.15	309.55	300.92	294.51
6.50E-03	310.15	309.86	301.79	295.39
6.91E-03	310.15	310.13	302.61	296.23
7.31E-03	310.15	310.34	303.37	297.05
7.72E-03	310.15	310.5	304.08	297.84
8.13E-03	310.15	310.61	304.74	298.59
8.53E-03	310.15	310.67	305.34	299.32
8.94E-03	310.15	310.68	305.89	300.02
9.34E-03	310.15	310.64	306.39	300.69
9.75E-03	310.15	310.55	306.83	301.33
1.02E-02	310.15	310.41	307.22	301.95
1.06E-02	310.15	310.22	307.56	302.53
1.10E-02	310.15	309.98	307.84	303.08
1.14E-02	310.15	309.98	308.08	303.57
1.18E-02	310.15	310.01	308.31	304.05
1.22E-02	310.15	310.04	308.53	304.51
1.26E-02	310.15	310.06	308.73	304.95
1.30E-02	310.15	310.08	308.91	305.38
1.34E-02	310.15	310.1	309.09	305.79
1.38E-02	310.15	310.12	309.25	306.19
1.42E-02	310.15	310.13	309.4	306.57
1.46E-02	310.15	310.14	309.54	306.93
1.50E-02	310.15	310.16	309.66	307.29
1.54E-02	310.15	310.17	309.77	307.62
1.58E-02	310.15	310.17	309.87	307.94
1.63E-02	310.15	310.18	309.95	308.25
1.67E-02	310.15	310.18	310.02	308.54
1.71E-02	310.15	310.18	310.08	308.82
1.75E-02	310.15	310.18	310.12	309.08
1.79E-02	310.15	310.18	310.15	309.32
1.83E-02	310.15	310.18	310.17	309.55
1.87E-02	310.15	310.17	310.18	309.77
1.91E-02	310.15	310.16	310.17	309.97
1.95E-02	310.15	310.15	310.15	310.15
