	Length [m]	Value [K]	
1	0.	281.3	
2	4.0625e-004	282.56	
3	8.125e-004	283.29	
4	1.2187e-003	283.85	
5	1.625e-003	284.39	
6	2.0313e-003	284.92	
7	2.4375e-003	285.43	
8	2.8437e-003	286.47	
9	3.25e-003	287.58	
10	3.6563e-003	288.65	
11	4.0625e-003	289.7	
12	4.4687e-003	290.72	
13	4.875e-003	291.71	
14	5.2812e-003	292.68	
15	5.6875e-003	293.61	
16	6.0937e-003	294.51	
17	6.5e-003	295.39	
18	6.9062e-003	296.23	
19	7.3125e-003	297.05	
20	7.7187e-003	297.84	
21	8.125e-003	298.59	
22	8.5312e-003	299.32	
23	8.9375e-003	300.02	
24	9.3437e-003	300.69	
25	9.75e-003	301.33	
26	1.0156e-002	301.95	
27	1.0562e-002	302.53	
28	1.0969e-002	303.08	
29	1.1375e-002	303.57	
30	1.1781e-002	304.05	
31	1.2187e-002	304.51	
32	1.2594e-002	304.95	
33	1.3e-002	305.38	
34	1.3406e-002	305.79	
35	1.3813e-002	306.19	
36	1.4219e-002	306.57	
37	1.4625e-002	306.93	
38	1.5031e-002	307.29	
39	1.5437e-002	307.62	
40	1.5844e-002	307.94	
41	1.625e-002	308.25	
42	1.6656e-002	308.54	
43	1.7062e-002	308.82	
44	1.7469e-002	309.08	
45	1.7875e-002	309.32	
46	1.8281e-002	309.55	
47	1.8687e-002	309.77	
48	1.9094e-002	309.97	
49	1.95e-002	310.15	
